,column_height,diffusion_coef,ellipse_major_axis,ellipse_minor_axis,tgsd_mean,tgsd_sigma,total_erupted_mass,wind_direction,wind_speed
0,19611.77705172129,2861.8074897590827,4308.039899387789,11000.0,-1.485986513433776,1.0,194034461085.50775,226.67168388809043,9.20004762911844
1,36291.03728264626,7743.802531457349,12347.01747380032,11000.0,-4.917564826933351,1.0,43158697603.4108,262.54963541306586,5.0732392798230395
2,35306.23460874891,6865.291397025659,15583.834035264763,11000.0,0.4260326217403545,1.0,128931904080.61487,263.6494923766383,19.354544793470154
3,20848.832888425783,6053.559890574444,2025.885504387552,11000.0,-1.3288560005022347,1.0,117754727332.22745,241.23290697419569,4.631026325816014
4,39951.867687107326,7598.9142511900545,16730.13776980235,11000.0,5.625499860928052,1.0,119567026645.13658,257.0984212130613,6.5206299262444505
5,38608.13231744014,2311.1237554407553,17865.329267427875,11000.0,1.8252093396473636,1.0,197399125261.33502,180.69376459035465,15.313710503765181
6,30356.879306974726,5738.537659597874,23680.685582116646,11000.0,-4.90411610795652,1.0,73330996297.11009,256.4053776215448,17.03664919621592
7,31426.825428122564,7496.696310099956,8287.089487289439,11000.0,1.2363858578222153,1.0,152947010918.3437,197.58395912849832,0.48234788457203404
8,7217.557610638519,5206.033093558928,15610.525645068945,11000.0,3.3353300425093657,1.0,195857168834.09045,255.9402252097546,19.15931537904112
9,14651.34845971427,6282.836178392778,17047.896184229117,11000.0,3.560522677987713,1.0,21088810228.788357,241.3761337509107,15.717177830364584
10,44508.43099240668,4442.133417601193,17848.90700057984,11000.0,0.936659496288919,1.0,22709159374.485977,229.38895192594165,7.3993777312213656
11,26499.29127957994,6537.002218376217,13541.950726941102,11000.0,1.8155996256601687,1.0,62649022435.61737,227.0358912920997,13.029359095660558
12,25216.271922814423,5524.294020709469,10094.78210626323,11000.0,5.008857680499357,1.0,179908096562.04953,190.31084297740907,6.287156454229441
13,26813.9548619257,3636.34290642395,22196.22462607359,11000.0,-3.485058334574789,1.0,71458101803.6178,225.62180005293848,10.565423960702368
14,25291.87426551028,4693.648294423905,17522.265844572532,11000.0,4.819158581929715,1.0,151096271516.06277,232.76322301397605,19.951899680949477
15,40714.300979265514,7371.286951621847,7070.2325567933085,11000.0,0.45639667927321614,1.0,87504646883.73074,246.27610220700154,13.010408595804515
16,36749.262052283564,6884.089131308748,6178.038695442789,11000.0,1.65770313032057,1.0,157784894560.78485,205.84262485425597,9.178668615401909
17,22582.869871267092,4001.6953701796697,9062.368179466019,11000.0,5.060793426151951,1.0,161956305606.13376,181.61492045057253,13.73278990118256
18,21615.52551811724,2125.619792469042,3606.080780615949,11000.0,1.857603028508354,1.0,33668884920.954227,213.36029895574097,4.813301003049682
19,30918.053195820255,4063.617152726471,17268.620116085054,11000.0,-4.873093738404,1.0,110578187819.56787,219.85404726366707,11.098728223517593
20,36771.32865076172,2890.9494725578847,24837.596606580883,11000.0,-4.498573882124999,1.0,16083149123.274721,182.00514147255842,6.870793094130062
21,18440.86047680198,3478.7638245364815,22630.175084693114,11000.0,2.197164841616866,1.0,105961098823.83733,210.12123033292488,7.129349443358504
22,8470.620228511687,3347.9858079820647,23267.906746264955,11000.0,-3.184605583467119,1.0,149659668769.46344,204.61037276990277,8.374680319504208
23,19973.1241437497,2861.3907958419622,13645.671245144731,11000.0,2.606767855017651,1.0,62622444611.807045,249.30994664231457,8.407958532082835
24,17418.813742923114,7939.46092718251,2410.533838888739,11000.0,2.7404739455941467,1.0,196004026493.8399,223.06786359213763,0.45656901826269536
25,10602.910990854793,5022.488251424693,9546.880313986347,11000.0,-1.1009680867473506,1.0,182179939322.49384,234.01802643094916,0.6009005332626189
26,26860.782064966163,7187.03570749627,1250.6780156198101,11000.0,0.22349013618111702,1.0,186917299911.2999,187.88622632957154,6.25534975469084
27,44562.56088257401,5145.982529703246,12912.377463960374,11000.0,-0.6987621695233504,1.0,99034095980.69939,222.37574742996242,10.818568601349183
28,6032.649220787434,4269.459105071803,24781.550779521705,11000.0,4.996338321951638,1.0,155701283406.63712,256.7442255170993,0.8412499581379392
29,39126.771616087244,7960.501063800873,13308.940878011193,11000.0,3.1385326792668398,1.0,197398028394.35004,202.09674077817388,2.3028069914482177
30,14821.044517890457,6649.303137742259,10510.286337345447,11000.0,5.839848145388505,1.0,89905597864.73653,240.53143405926042,9.418169190547983
31,26359.909072540016,4249.0813040179355,4998.382672581192,11000.0,-0.46829556058338895,1.0,85253269976.19077,254.24263656952013,17.844630811537147
32,30943.330505082224,5609.468823009378,6010.747045758935,11000.0,4.773685312493264,1.0,24897063049.347557,256.42853942370226,17.302626663024025
33,31775.156810050117,4624.176855189694,1093.1584237807463,11000.0,-3.9554390935608432,1.0,28762705412.33356,192.73293013393572,7.933554136717731
34,16628.632182291964,2885.0311642285656,23201.24810248538,11000.0,-0.3750782908825476,1.0,85598904755.21716,192.5281931004466,11.161325629801544
35,43758.02583621372,7303.716126627087,20994.824996037554,11000.0,3.3991793078222763,1.0,34027121764.956367,266.9482783861448,6.972052408091902
36,44968.13349673947,4100.630235802933,22699.373215710566,11000.0,-4.728252180722624,1.0,78622246012.51959,219.29621628109453,0.4535091416131638
37,13264.89954025681,2512.179738692393,4105.088843263951,11000.0,1.6724155770410558,1.0,166950961209.60474,237.91251982191847,10.532228997848359
38,39629.11621489827,7261.0902448499055,23486.399204880425,11000.0,-3.620519089336934,1.0,24814644728.165558,200.14014540355993,12.118525250591775
39,17525.280253408557,5234.589745629589,2617.657376243245,11000.0,-2.6170153196833055,1.0,12192966413.179338,240.0270692773663,18.364507435584887
40,11323.09431083791,4106.519114971108,20977.334719748585,11000.0,5.765360454423487,1.0,49703556603.07541,240.46180803210194,8.791370746646093
41,31785.06448546273,6460.44776992488,7527.968217346542,11000.0,-3.670114316436791,1.0,53518295827.478325,183.6773805977636,2.1237598489785956
42,18207.21786016634,4358.364546384104,4588.870657801697,11000.0,4.1915719741144155,1.0,14357092482.072287,256.5545124589749,0.3165534623420322
43,29649.471758464857,7865.430328221618,13294.75644440561,11000.0,4.4593460799475295,1.0,101986027771.12015,211.30552271816518,9.518870191004632
44,35211.30319461056,2142.0671386854974,18747.466959404686,11000.0,-0.8819856670820103,1.0,91686257770.08311,184.3205772843355,19.96071407567892
45,12583.00955056824,4341.272210840561,23842.63335180916,11000.0,-4.10564263109335,1.0,54497393890.129166,258.2269315136307,19.72039071907109
46,19210.08350280152,7678.592043097865,21746.78916197824,11000.0,-5.31238598731256,1.0,100559236790.1743,268.9920665682529,1.0616198502708487
47,17250.50882171477,4158.251173087616,15567.908729679179,11000.0,1.710727761551606,1.0,132443102991.59396,223.74757616098987,12.253930303300573
48,35215.91888042867,5380.778487765261,12860.683034611966,11000.0,-1.3254903663598174,1.0,84617270004.0046,192.40581292278537,7.919977924017456
49,13469.939098857714,3256.948330767762,6284.246155452026,11000.0,5.722054863015714,1.0,196018331040.59146,220.59429823767204,0.7619843881684077
50,24397.664742202298,2721.1129667924984,19294.1039751912,11000.0,0.5459028252973042,1.0,20888485740.066803,243.21099597720738,15.617412632697537
51,26650.506215353485,4654.505500409696,3109.349548048278,11000.0,-3.666264942645601,1.0,49554560671.40558,261.3520856361198,10.025826244244632
52,43685.466421844554,6667.997644924274,10393.30574154051,11000.0,-2.544712076736772,1.0,138190229397.7796,192.74986384130102,15.072950164676465
53,8155.681364299548,7440.945241393718,11863.05942614276,11000.0,-4.242440119703953,1.0,111387318318.45609,222.26683659537008,12.925492682545507
54,16601.088501647762,4859.131614413132,11330.474487322435,11000.0,4.1355210946312635,1.0,65002284062.05863,212.72681571618602,8.331318276654347
55,24032.03760894922,5672.888332087798,7974.612124475949,11000.0,-2.980259565016055,1.0,64444325354.631714,256.48479257758265,6.673073867545275
56,43492.00192497288,3565.2066463156207,16110.842038914961,11000.0,-1.453530143442861,1.0,164784070040.2457,215.73888922790854,9.565726428173898
57,7821.379579983488,3071.667682516444,6465.689243440009,11000.0,-2.080824257177757,1.0,169081965955.12814,228.4593732658438,19.58535088809651
58,24778.114888155476,4444.669171797103,1143.0515694814894,11000.0,-5.355724835443219,1.0,34737577170.12337,209.04961275522865,7.927446339805791
59,17652.65530172224,4048.252950297988,1839.704524292169,11000.0,2.8710505529871035,1.0,137333036721.19458,221.4184075613116,15.377885393913454
